Run,Fitness1,Solution1,Fitness2,Solution2
6,1.5209376E8,0058003900290006003000240023007500550041,2.353254E7,0052000500640021001800220074010400190052
7,1.9884752E8,0039003400330005000900480033006700730051,4735540.0,0049001800650021003400120065011000080030
8,2.324998E7,0046004100170016005500500032008000510059,149284.72,0050000000610028000000110065010000220011
9,1.2966612E7,0052002900770092001400190027009500540048,6426060.5,0051003100760081003000250070008800200036
10,4.97634912E8,0033004000430062002200550047006400390059,1.8908196E7,0048000100670060002400090051011300290012
11,1.00415834E9,0072002700290034001900720025005700850067,9.9691856E7,0055003700640040002700020072011900010000
12,1.863931E7,0052002100740031003100520012004000270032,7456337.5,0051005200750038001700100084013200370073
13,9.4980947E8,0072003400530072002200220068004700260048,9.5118744E7,0054001700700067002400230032012700380035
14,1.03247482E9,0072002600750054001700100035008400800051,1.02018056E8,0055003900750055002800290062009700040029
15,9.391289E8,0027002700610051004200150051004100170038,4.3001752E7,0047003800720053000800260047013200440058
16,1.47586714E9,0077002600480052002500480049006400460036,1.3847544E8,0055004100690053002200120049011300250064
17,5.0645968E8,0065003400820086002000410045008400200060,5.6964864E7,0053001800770076002600150053009700410007
18,2.80850912E8,0037002500870022005200510073007400160059,8287535.5,0049004200790032000000110027010500440012
19,4.2094528E7,0054003700660072003000210050008900690038,1.0899471E7,0051000900730067001700240048009300110059
20,2.2936314E7,0053002200140068003600190070005600180034,8132855.0,0051004900600064001300250030012000420068
21,260290.48,0049003200750055003400240064008500270035,2120555.8,0051002200750055001400220035009600370066
22,7838110.5,0047002900940064004600570048009100370067,746392.75,0050003200800061000500080050009100310000
23,4.90615328E8,0033003300690089005800200065004800800033,1.8562664E7,0048002100740079000000240034012600040070
24,500924.5,0049003800470080001900760022009000870052,1991608.4,0051000500680072002600000075009200000028
25,2.5513432E7,0045004400110072003200090052004000240037,117000.39,0050000000590067001600290046013300390061
26,6.2331635E8,0031004900910032004200710057005800710068,2.5575884E7,0048000000790039000800020042011800100000
27,1.16647181E9,0074004700850087002800220044005300350042,1.13169112E8,0055000000780077002000230054012300320049
28,3634254.0,0048005200860046005200400014008000630039,1225244.2,0050000000780049000000160082010000140056
29,5.30518624E8,0032003500680085005600660065008100700046,2.0619358E7,0048001500730076000000040034010000100040
0,3.0821238E7,0057003200270041002500380050008900350051,3751074.8,0049003500770053000000000092014500270070
1,104167.164,0047001100750037002400350049008900420044,1.2857052E7,0052000000750052000100000041014300000047
2,1.5287326E7,0054002200550011002400340050009000380039,180761.66,0050000600760048001400000067012900120033
3,1.00425776E8,0064001800240038002300300050009100390031,3.8803504E7,0047000000770052003600060069008900090010
4,6997210.5,0052001500290024002400260049009000320039,859943.8,0050000000770050001500160018011300380033
5,2.2123318E7,0055003700240016002300360049009100340040,1237758.2,0050005000770049001900000050009200300036
6,2.353254E7,0056002000390007002300230050009000370046,1585351.6,0049000000760047001600220089011200190054
7,4735540.0,0044002500430006002200290050009000390038,3.057559E7,0053001500760047003900070074012100070029
8,149284.72,0048001700300016002500300050009100360031,1.0002189E7,0051000000770048000000050074010500210008
9,6426060.5,0052003000760092002300220050009100360040,493390.9,0050003000750061003600270087008500110034
10,1.8908196E7,0040001900500062002300310049009000340031,5.819092E7,0053000000760056002400020052012500290009
11,9.9691856E7,0064003300390034002300360050008900410024,3.8390116E7,0047003800760052002800000085013400000000
12,7456337.5,0052003900740031002400310050008900320054,754101.5,0050005600750051001400040104015500370079
13,9.5118744E7,0064002500580072002300230049008900320040,3.5658596E7,0047001400760058002500240021014600380035
14,1.02018056E8,0065003400750054002300190050009100400037,3.974648E7,0047004000750055003000320070010000030028
15,4.3001752E7,0036003300640051002400210049008900310048,9.5259576E7,0054003900760054000200280046015500430061
16,1.3847544E8,0067003400540052002300290049009000350051,6.260844E7,0046004200760054002100060049012500250068
17,5.6964864E7,0060002500810086002300280049009100310029,1.477993E7,0048001500750060002700110055009900410004
18,8287535.5,0042003500850022002500300049009000310031,3.8555628E7,0053004400750050000000050013011300440009
19,1.0899471E7,0053002200680072002400220049009100390048,526176.3,0050000200790058001300250047009300000067
20,8132855.0,0052003800270068002400220049008900310052,537658.25,0050005200770057000900260019013500420073
21,2120555.8,0050002700750055002400230049009100320051,4206777.5,0051002000750055001100220026009800370070
22,746392.75,0049003100900064002400320049009100340024,6989003.5,0051003200750057000000000050009200310000
23,1.8562664E7,0040002700700089002500220049008900400053,5.75987E7,0053001900750061000000250025014600030075
