characteristicTest,10,30,1000,Weierstrass,VonNeumannPSO,{c1=0.7; c2=0.7; w=0.9},10,-0.003475383568379,-3.29174015195406E-06,269.386787620701,0.001607019585804,-4.40382988787447,-0.001567902107037,6.47242490519438,1.05918945189363,-0.00247026275504,-2.32520222788759E-05,123.618092029358,0.014028594152797,-0.029165774164064,-0.000116475617796,22.8651859103152,0.051247529975669,4840,12,294,800.166666666667,8.10714285714286,0.631547619047619,1.2975,8.76252436172179,2.2166667435
characteristicTest,10,30,1000,Weierstrass,VonNeumannPSO,{c1=0.7; c2=0.7; w=0.9},30,-0.004983145513918,-2.08610774899681E-05,150.564312450629,0.012149775123537,-4.01573083659609,-0.000860449680493,7.47611565866485,0.578747055931931,-0.00429396359872,-2.33679999940478E-05,87.5970941980775,0.014645951903239,-0.143958940597415,-0.000127598867116,6.39550359179396,0.060234774745197,4434,23,305,824.4,8.93220338983051,0.664406779661017,1.3545,6.7902260657266,3.3600000945
characteristicTest,10,30,1000,Weierstrass,VonNeumannPSO,{c1=0.7; c2=0.7; w=0.9},5,-0.004655769149247,-1.82226365133998E-05,146.624799190181,0.010725803105237,-1.04911625248993,-0.000374621152411,19.15365429783,0.248838502753866,-0.006182421549245,-1.93617385502123E-05,63.6872180387002,0.012450957753056,-0.025258297193881,-5.69469535412129E-05,30.9463873674491,0.0281735505059,3359,20,300,847.066666666667,8.25862068965517,0.674137931034483,1.363,6.1239290444335,6.666666853
characteristicTest,10,30,1000,Weierstrass,VonNeumannPSO,{c1=0.7; c2=0.7; w=0.9},3,-0.004940593287564,-3.41684121430871E-05,154.63277848062,0.019900824258007,-0.27091272579016,-0.000410975004347,59.6736190866451,0.261654216862247,-0.00392231574163,-2.45939733235424E-05,103.652840388115,0.015147032949591,-0.00679806433446,-6.00472069143731E-05,84.6966200391042,0.026478074427713,4374,19,319,809.5,8.37096774193548,0.672043010752688,1.3235,7.18273965165382,0.8333333675
characteristicTest,10,30,1000,Weierstrass,VonNeumannPSO,{c1=0.7; c2=0.7; w=0.9},21,-0.003746278915489,-1.04890550426466E-05,268.603999949532,0.005303001563486,-0.286797410882355,-0.000600819908341,54.440167466509,0.387123137400456,-0.003289653925818,-2.82622513103399E-05,136.493641930454,0.016849497762567,-0.004783584045377,-5.88300878604136E-05,118.467619123577,0.025653289947523,5717,30,392,767.3,8.20689655172414,0.694252873563219,1.201,9.94335576549795,1.7033334045
characteristicTest,10,30,1000,Weierstrass,VonNeumannPSO,{c1=0.7; c2=0.7; w=0.9},19,-0.006691400172141,-2.3470838082357E-05,90.4768206887083,0.014666446611679,-0.943226825237932,-0.000375629424598,23.680198545711,0.246516798431422,-0.007509554575533,-1.90736665275308E-05,53.2691587356607,0.01232100546746,-0.0109371433965,-4.95408508236899E-05,49.6293576469791,0.020548560742057,3129,27,243,868.6,8.22413793103448,0.640804597701149,1.4915,3.67083434387412,0.9100000415
characteristicTest,10,30,1000,Weierstrass,VonNeumannPSO,{c1=0.7; c2=0.7; w=0.9},23,-0.004644959608168,-3.23192057114937E-05,234.536897951296,0.016796064888199,-2.33429604483907,-0.001388094025372,10.4544777438034,0.934973768188765,-0.002905546014071,-2.23132578269251E-05,127.315919247965,0.013530789497883,-0.456290774797113,-8.93861357457654E-05,3.12620470410655,0.050510662527908,5560,18,331,771.3,9.1864406779661,0.656497175141243,1.1675,6.67390225524929,2.096666744
characteristicTest,10,30,1000,Weierstrass,VonNeumannPSO,{c1=0.7; c2=0.7; w=0.9},2,-0.005524128395103,-2.72444641936551E-05,152.312072348118,0.015955452266946,-1.07455594749026,-0.001308186613812,22.5575782553017,0.867103054209462,-0.004677193908854,-3.44328783105268E-05,100.632534693272,0.021225096754584,-0.007829029536131,-8.36780763851378E-05,87.9437953101267,0.03623046916878,4606,28,359,808.033333333333,8.24590163934426,0.677595628415301,1.233,7.34630800062848,1.453333384
characteristicTest,10,30,1000,Weierstrass,VonNeumannPSO,{c1=0.7; c2=0.7; w=0.9},7,-0.005397772512125,-4.34683578743452E-05,133.653367182532,0.026070055958932,-0.640286436116237,-0.000445534840069,29.3826415215692,0.293108559706067,-0.004678341351712,-2.581972024235E-05,74.280657784618,0.016495452071337,-0.039490563226735,-0.000140597718031,17.7605191293599,0.064143375268298,4508,32,381,809.2,8,0.668888888888889,1.3635,6.55791510012741,2.7966667505
characteristicTest,10,30,1000,Weierstrass,VonNeumannPSO,{c1=0.7; c2=0.7; w=0.9},15,-0.002750552643678,-1.46854363630454E-06,302.407760905116,0.000770200886213,-0.326243945713591,-0.000533622801402,54.5764693577867,0.340809862069431,-0.006439271052365,-2.54669295947712E-05,89.6987520662163,0.015827364233705,-0.011902668063576,-7.34595520087036E-05,73.5605247155602,0.030774996603307,5272,28,257,800.166666666667,8.28070175438597,0.653216374269006,1.444,8.14243948042445,1.743333395
