,Indicator,Metaheuristic,Function,DRoC Type A,DRoC Type B,ERT Diversity,Critical Diversity,FRoC Type A,FRoC Type B,ERT Fitness,Critical Fitness,SRoC Type A,SRoC Type B,ERT Separation,Critical Separation,MRoC Type A,MRoC Type B,ERT Mobility,Critical Mobility,ntotal*,nshared*,Mean ID,Mean GC,SNID,EXPLORE%,INFEASIBLE%
13,MRoC Type B,GBestPSO,AttractiveSector,-0.2740271982698968,-0.37462681689332883,-0.18299116787436961,0.3727593527917128,0.3572256467588949,0.6087401736905355,0.43040446214910943,-0.6090839805476951,-0.4532802412916861,-0.14810087660680296,-0.4049963659973138,0.16263535364380755,0.1543684267328474,1.0,0.3829807749339901,-0.9907274725610536,-0.2241632954803846,0.15429936343022516,0.03449092889695931,-0.03449092889696038,-0.236140580624458,0.0466824867388936,0.013251515942175883
14,ERT Mobility,GBestPSO,AttractiveSector,-0.0305333749520986,0.08431918108898312,0.1764401771407768,-0.08631865096052568,0.5027540426596595,-0.14078221946118655,0.5436832692978641,0.13737072320083185,0.4162148537863252,0.4032084523204115,0.49728571480547484,-0.41068992714835306,0.7623580876374186,0.3829807749339901,1.0,-0.4147477451909011,0.3396548158158517,0.036291825813447594,-0.09387434414341973,0.09387434414341875,-0.09633734586412322,0.31832599379609205,-0.0982139511120036
15,Critical Mobility,GBestPSO,AttractiveSector,0.24953219799146176,0.37860898490427164,0.1560556083734002,-0.3762040854830636,-0.34486142537665704,-0.5750960782962615,-0.44789922988724146,0.5755067489261602,0.4124356022817292,0.11970415479420848,0.35872856279978577,-0.13300417462485717,-0.16715998923974817,-0.9907274725610536,-0.4147477451909011,1.0,0.1880215912918492,-0.17535026820048372,-0.03104661327380969,0.03104661327381069,0.20601527777416498,-0.06888616123256845,-0.052651481858833775
16,ntotal*,GBestPSO,AttractiveSector,0.40106174809906114,0.3175674666126112,0.5897657416532185,-0.324438511248351,0.0030229653857832698,-0.5307488589689376,0.03674730532280898,0.5301479865409188,0.5772922395882572,0.21956223560805097,0.7166170995072115,-0.24425520061112124,0.19726476673065393,-0.2241632954803846,0.3396548158158517,0.1880215912918492,1.0,0.12845476490638305,-0.19976769478694564,0.19976769478694525,0.33040264861968394,0.6810048954117134,-0.054026300226446916
17,nshared*,GBestPSO,AttractiveSector,0.3951853450824422,-0.03626530724413651,0.36366968214982875,0.02607473872804589,0.10324971786238542,0.060085625505684595,0.12527003264934017,-0.05957565254367219,0.07959309668014145,-0.26715465909648345,0.011894885736021413,0.26109630584852866,0.0958217307960714,0.15429936343022516,0.036291825813447594,-0.17535026820048372,0.12845476490638305,1.0,0.0401239150118013,-0.040123915011801105,-0.07116215656907333,0.23118651437429982,-0.004443472812776791
18,Mean ID,GBestPSO,AttractiveSector,0.18953291645548725,0.2238672333774378,-0.005114686784439163,-0.2247132494492344,0.16276898318709596,0.16043799959552543,0.03275839149145799,-0.1605615276055603,-0.19482604229617875,-0.22535919372428037,-0.2663958849201973,0.22937770282839262,0.06254662148881711,0.03449092889695931,-0.09387434414341973,-0.03104661327380969,-0.19976769478694564,0.0401239150118013,1.0,-1.0,-0.22251273801055324,-0.33535917103667384,0.2531005169259181
19,Mean GC,GBestPSO,AttractiveSector,-0.1895329164554863,-0.22386723337743644,0.005114686784440192,0.224713249449233,-0.16276898318709707,-0.16043799959552524,-0.032758391491457886,0.16056152760556017,0.19482604229618056,0.22535919372428106,0.2663958849201975,-0.22937770282839334,-0.06254662148881905,-0.03449092889696038,0.09387434414341875,0.03104661327381069,0.19976769478694525,-0.040123915011801105,-1.0,1.0,0.2225127380105546,0.3353591710366746,-0.2531005169259177
20,SNID,GBestPSO,AttractiveSector,0.08430098199207346,0.172262280131155,0.21269226416788223,-0.1731234425952907,-0.008027325941288207,-0.2863582241755128,-0.0452118897188259,0.2858411294558599,0.18850408476494326,0.32387397685274494,0.37252294038352163,-0.3275267259809949,-0.3202643089439263,-0.236140580624458,-0.09633734586412322,0.20601527777416498,0.33040264861968394,-0.07116215656907333,-0.22251273801055324,0.2225127380105546,1.0,0.2676895169988084,0.24886981663556854
21,EXPLORE%,GBestPSO,AttractiveSector,0.34558966966484644,0.06553290915819739,0.6817227672958366,-0.07658683990681603,0.08138603436028631,-0.23286731312526623,0.22747032552969773,0.23225224899858352,0.40612183647021344,0.12989586594944544,0.48965627108452736,-0.14900854209668626,0.03497142598372998,0.0466824867388936,0.31832599379609205,-0.06888616123256845,0.6810048954117134,0.23118651437429982,-0.33535917103667384,0.3353591710366746,0.2676895169988084,1.0,-0.07996266186631219
22,INFEASIBLE%,GBestPSO,AttractiveSector,0.17772808748707128,0.1274458143059286,0.08231518132191551,-0.12910392199653908,-0.002808840455088372,0.05289425281048425,-0.02957620168479983,-0.052542466435553284,-0.12457061333021131,-0.2841712446573156,-0.11744481721604277,0.28325176410863445,-0.06336231231074577,0.013251515942175883,-0.0982139511120036,-0.052651481858833775,-0.054026300226446916,-0.004443472812776791,0.2531005169259181,-0.2531005169259177,0.24886981663556854,-0.07996266186631219,1.0
23,DRoC Type A,GreedyPSO,AttractiveSector,1.0,0.5290703395270483,0.555764364738473,-0.5469194685771258,0.17544016363322285,0.23299554849966192,0.14035573695496092,0.0023492670554476213,-0.22550859092115166,0.22047943824566776,-0.23303315822906115,-0.011469755699801782,0.09636163744439885,0.4301012006175856,0.2551940832890575,-0.4654821118414399,0.12937568319387424,-0.2220901347413619,-0.2252941898524807,0.2252941898524752,-0.22213709050584363,0.3228942721581952,-0.48382799081018285
24,DRoC Type B,GreedyPSO,AttractiveSector,0.5290703395270483,1.0,0.49908926780930796,-0.9996462484661071,0.5472504653021413,-0.0462971127439593,0.4457084653495306,0.28227637690829166,-0.014255252115599347,0.22306291619675636,0.014856304330856348,0.31032585282574937,-0.00943557468084574,-0.037542809733952374,0.2493502412644443,-0.1014397923983233,-0.2057906973586519,-0.3257577921330784,-0.03705979912298138,0.03705979912298118,-0.09177107948661072,0.01071439000849012,-0.5107658908934781
25,ERT Diversity,GreedyPSO,AttractiveSector,0.555764364738473,0.49908926780930796,1.0,-0.5169670019607557,0.10217647555796758,-0.035390954870821834,0.12276901859885318,0.0983677388866589,-0.03155912517566329,-0.0033564107563980746,-0.0037427412753379134,-0.017775643841189567,0.127324014271184,0.337769986455951,0.4605405482049351,-0.3590359213388054,0.4852755774231292,0.005326478583190284,-0.18120615395718162,0.18120615395718287,-0.09210206847536741,0.7510977399707979,-0.38194047642128265
26,Critical Diversity,GreedyPSO,AttractiveSector,-0.5469194685771258,-0.9996462484661071,-0.5169670019607557,1.0,-0.541633606570683,0.04260532424430315,-0.4408720035150683,-0.2776447733515837,0.017794622283571777,-0.22276472637780598,-0.01107450441095567,-0.3028129830958658,0.0061508566554583895,0.024577530763037123,-0.2559944867233303,0.11251479232100214,0.19125864827563097,0.32482571979950103,0.043064143027839355,-0.04306414302783914,0.09491948524616434,-0.028869601430125107,0.5160969772308232
